route_id,route_short_name,route_long_name,avg_headway_min,headway_std,peak_trip_count,stops_served,headway_score,variability_score,crowding_risk_score,risk_rank
41,115,Pune Station Moledina Stand to Hinjawadi Maan Phase 3 (DOWN),54.6948051948052,111.40492619386757,21,56,0.08047956409644155,0.4064977466562938,0.1782850188643972,273
800,371,Takve Bhoyregaon to Nigdi Pawale Chowk (UP),170.0,0.0,1,7,0.25389493641137734,0.0,0.17772645548796412,274
40,115,Hinjawadi Maan Phase 3 to Pune Station Moledina Stand (UP),54.87057220708447,110.62431479418554,19,54,0.08074391213320252,0.40364942759333994,0.17761556677124374,275
176,148,Pimplegurav to Shewalewadi Depot (UP),53.18860244233379,109.24958203245907,19,54,0.07821428271390801,0.39863326009528943,0.17433997592832243,276
578,305,Nigdi Pawale Chowk to Vadgaon Mawal (DOWN),53.041158536585364,108.10906204271213,20,46,0.07799253173508933,0.39447169541688554,0.17293628083962817,277
199,155,Dimond Water Park to Pune Station Moledina Stand (UP),51.62534435261708,109.06993702975335,18,50,0.07586319190563555,0.39797776584298983,0.17249756408684183,278
366,204,Bhekrai Nagar to Chinchwadgaon Aundh Road / Chinchwadgaon (DOWN),51.278538812785385,109.0348203178608,24,60,0.07534160732384457,0.39784963089652026,0.17209401439564725,279
346,199,Kothrud Depot to Shewalewadi Depot (DOWN),51.75501432664756,107.4320385584455,21,48,0.07605821145234856,0.3920013511494439,0.17084115336147715,280
351,19,Swargate to Yewalewadi (UP),51.54336734693877,106.21229600617374,19,27,0.07573990107745575,0.3875507167301326,0.1692831457732588,281
418,21,Sangvi Vasantdada Putala to Swargate (UP),51.386792452830186,105.83985692343752,18,36,0.07550441738044725,0.3861917494647574,0.16871061700574028,282
801,371,Nigdi Pawale Chowk to Takve Bhoyregaon (DOWN),160.0,0.0,1,14,0.23885525215361975,0.0,0.1671986765075338,283
419,21,Swargate to Sangvi Vasantdada Putala (DOWN),50.08474576271186,105.61920910945575,19,35,0.07354618026962345,0.38538664288417274,0.16709831905398823,284
191,152,Lohegaon to Ma Na Pa Daphale Garage (UP),49.75778546712803,104.4044436357631,18,38,0.07305444230858306,0.3809541689833991,0.16542436031102786,285
71,120,Bhosari Chakan Road to Endurance Systems Chakan Mahalunge (DOWN),46.372262773722625,105.87259302892171,21,43,0.06796272307295403,0.3863111979807993,0.1634672655453076,286
606,314,Nigdi to Chakan Ambethan Chowk (DOWN),46.46616541353384,104.04002375125579,24,57,0.06810394967832709,0.37962446241700204,0.16156010349992955,287
460,235,Kharadi Gaon to Katraj (UP),47.06535947712418,102.17360708288327,21,48,0.06900511863087924,0.3728142234452092,0.16014785007517823,288
605,314,Chakan Ambethan Chowk to Nigdi Pawale Chowk (UP),46.932668329177055,102.19992379929391,21,50,0.06880555533398683,0.3729102486954904,0.1600369633424379,289
148,140,Pune Station Jayprakash Stand to Upper Depot (UP),45.95634095634096,102.4182609364667,20,29,0.06733718979202075,0.37370692400693645,0.15924811005649545,290
461,235,Katraj to Kharadi Gaon (DOWN),46.0253164556962,101.32812274187005,23,48,0.06744092676520314,0.36972919398379234,0.1581274069307799,291
270,169,Shaniwarwada Stand to Keshav Nagar (DOWN),44.533029612756266,102.37007882664741,20,26,0.06519657447122089,0.37353111563167124,0.15769693681935598,292
630,322,Ma Na Pa Main Gate to Akurdi Railway Station (DOWN),44.79815455594002,101.95145381128586,23,52,0.06559531401465485,0.372003623704229,0.1575178069215271,293
566,302,Pimprigaon to Bhosari Gavhane Vasti (DOWN),44.43627450980392,101.86552709171954,20,25,0.06505105785134789,0.3716900916273755,0.15704276798415617,294
698,345,Hinjawadi Maan Phase 3 to Bhosari Terminal (UP),150.0,0.0,1,19,0.22381556789586218,0.0,0.15667089752710353,295
833,381,Megapolis Phase 3 to Nageshwar Vidyalaya Chikhli (UP),150.0,0.0,1,16,0.22381556789586218,0.0,0.15667089752710353,296
780,366,Nigdi Bhakti Shakti to Pune Station Depot (UP),150.0,0.0,1,10,0.22381556789586218,0.0,0.15667089752710353,297
182,151,Alandi to Pune Station Moledina Stand (UP),45.31869688385269,99.19501026401578,24,42,0.06637819324011532,0.361945827078605,0.15504848339166222,298
111,130,Narhegaon to Swargate (DOWN),44.4,99.82755905699555,20,21,0.06499650213394229,0.36425389071439956,0.15477371870807946,299
569,303,Akurdi Railway Station to Nigdi Pawale Chowk (UP),43.77813504823151,99.30054886178966,19,18,0.06406123688138592,0.3623309195843502,0.1535421416922752,300
345,199,Shewalewadi Depot to Kothrud Depot (UP),42.44994110718493,100.0406999869954,22,48,0.06206367513074519,0.36503160594410483,0.15295405437475307,301
629,322,Akurdi Railway Station to Ma Na Pa Main Gate (UP),43.29875518672199,99.01860046639838,26,55,0.06334026470572285,0.3613021375428768,0.15272882655686904,302
511,290,Jambhulwadi to Swargate (DOWN),43.2312925170068,98.95097969292293,21,25,0.06323880298055266,0.3610554007693423,0.15258378231718955,303
110,130,Swargate to Narhegaon (UP),42.69230769230769,99.24304343073341,22,21,0.062428186822232924,0.36212109198566583,0.1523360583712628,304
684,340,Alandi to Nigdi Pawale Chowk (UP),145.0,0.0,1,13,0.21629572576698342,0.0,0.1514070080368884,305
685,340,Nigdi Pawale Chowk to Alandi (DOWN),145.0,0.0,1,13,0.21629572576698342,0.0,0.1514070080368884,306
570,303,Nigdi Pawale Chowk to Akurdi Railway Station (DOWN),43.857142857142854,97.09091711048912,20,16,0.06418006213137831,0.3542683467832085,0.15120654752692736,307
321,188,Katraj Kondhwa Road to Hadapsar Gadital (UP),42.1124828532236,98.64046140875142,21,42,0.061556148571769935,0.35992237203242955,0.15106601560996782,308
635,324,Hinjawadi Maan Phase 3 to Bhosari Terminal (UP),42.411533420707734,98.22280886721917,23,44,0.0620059111829764,0.3583984284976285,0.15092366637737203,309
371,207A,Saswad to Hadapsar Gadital (UP),42.76315789473684,97.69118671182702,25,41,0.06253474328964619,0.35645862910434667,0.15071190903405635,310
183,151,Pune Station Moledina Stand to Alandi (DOWN),42.396142433234424,97.9947934297115,24,38,0.06198276362377503,0.3575664387040316,0.15065786614785198,311
247,165,Vadgaon Sheri to Ma Na Pa Dengle Pul Nadikhathi (UP),39.424882629107984,97.31917284341955,21,22,0.057514082693592206,0.35510121337418976,0.14679022189777147,312
267,169,Keshav Nagar to Shaniwarwada Stand (UP),41.23246492985972,95.46616796036393,22,27,0.06023262940091391,0.3483399117402349,0.14666481410271018,313
686,341,Urse Gaon Vasudev Aashram to Nigdi Pawale Chowk (UP),140.0,0.0,1,27,0.20877588363810462,0.0,0.14614311854667322,314
565,302,Bhosari Gavhane Vasti to Pimprigaon (UP),38.95228215767635,96.90475747767987,21,25,0.05680330650655229,0.35358908174672676,0.14583903907860463,315
473,256,Pune Station Moledina Stand to Balewadi Depot (DOWN),39.015544041450774,96.66187080642001,25,41,0.056898450382304115,0.3527028293346192,0.14563976406799864,316
510,290,Swargate to Jambhulwadi (UP),39.562899786780385,94.74251424386244,22,25,0.05772165614094681,0.3456994216365441,0.144114985789626,317
387,209,Katraj Kondhwa Road to Saswad (DOWN),40.11025358324146,94.20978993433772,28,48,0.05854485896855276,0.3437556006691123,0.14410808147872062,318
248,165,Ma Na Pa Dengle Pul Nadikathi to Vadgaon Sheri (DOWN),40.205128205128204,93.8580888771442,22,21,0.05868754740427783,0.3424723029539196,0.14382297406917036,319
494,276,Chinchwadgaon to Ganpati Matha (UP),38.850868232890704,95.09511021321869,24,52,0.05665078316574068,0.34698598473496567,0.14375134363650818,320
177,148,Shewalewadi Depot to Pimplegurav (DOWN),39.21077959576516,94.54256995139276,26,54,0.05719207849158178,0.344969858706766,0.14352541255613704,321
636,324,Bhosari Terminal to Hinjawadi Maan Phase 3 (DOWN),38.957617411225655,93.28701537916982,27,45,0.05681133055943395,0.3403885522793961,0.14188449707542258,322
866,50,Sinhgad to Shaniwarwada Stand (UP),91.640625,42.4830002182012,3,60,0.13604491054785514,0.1550132875618586,0.14173542365205616,323
