route_id,agency_id,route_short_name,route_long_name,route_type
316,PMPML,185,Hadapsar Gadital Solapur Road to Wagholi Kesnand Phata (DOWN),3
321,PMPML,188,Katraj Kondhwa Road to Hadapsar Gadital (UP),3
322,PMPML,188,Hadapsar Gadital to Katraj Kondhwa Road (DOWN),3
323,PMPML,189,Dhangar Vasti to Hadapsar Gadital (UP),3
324,PMPML,189,Hadapsar Gadital to Dhangar Vasti (DOWN),3
327,PMPML,192,Vadachi Wadi to Hadapsar Gadital (UP),3
328,PMPML,192,Hadapsar Gadital to Vadachi Wadi (DOWN),3
331,PMPML,193,Khutbav Gaon to Hadapsar Gadital Solapur Road (UP),3
332,PMPML,193,Hadapsar Gadital Solapur Road to Khutbav Gaon (DOWN),3
335,PMPML,195,Holkarwadi to Hadapsar Gadital (UP),3
336,PMPML,195,Hadapsar Gadital to Holkarwadi (DOWN),3
345,PMPML,199,Shewalewadi Depot to Kothrud Depot (UP),3
346,PMPML,199,Kothrud Depot to Shewalewadi Depot (DOWN),3
347,PMPML,19A,Swargate to Yewalewadi (UP),3
348,PMPML,19A,Yewalewadi to Swargate (DOWN),3
351,PMPML,19,Swargate to Yewalewadi (UP),3
352,PMPML,19,Yewalewadi to Swargate (DOWN),3
355,PMPML,200,Alandi to Shewalewadi Depot (UP),3
356,PMPML,200,Shewalewadi Depot to Alandi (DOWN),3
357,PMPML,201,Alandi to Bhekrai Nagar (UP),3
358,PMPML,201,Bhekrai Nagar to Alandi (DOWN),3
359,PMPML,202,Ganpati Matha to Shewalewadi Depot (UP),3
360,PMPML,202,Shewalewadi Depot to Ganpati Matha (DOWN),3
363,PMPML,203,Pune Station Moledina Stand to Shewalewadi Depot (UP),3
364,PMPML,203,Shewalewadi Depot to Pune Station Moledina Stand (DOWN),3
365,PMPML,204,Chinchwadgaon to Bhekrai Nagar (UP),3
366,PMPML,204,Bhekrai Nagar to Chinchwadgaon Aundh Road / Chinchwadgaon (DOWN),3
367,PMPML,205,Sangvi Vasantdada Putala to Shewalewadi Depot (UP),3
368,PMPML,205,Shewalewadi Depot to Sangvi Vasantdada Putala (DOWN),3
371,PMPML,207A,Saswad to Hadapsar Gadital (UP),3
372,PMPML,207A,Hadapsar Gadital to Saswad (DOWN),3
373,PMPML,207,Saswad to Swargate (UP),3
379,PMPML,207,Swargate to Saswad (DOWN),3
380,PMPML,208,Hinjawadi Maan Phase 3 to Bhekrai Nagar (UP),3
381,PMPML,208,Bhekrai Nagar to Hinjawadi Maan Phase 3 (DOWN),3
382,PMPML,209A,Saswad to Swargate (UP),3
383,PMPML,209A,Swargate to Saswad (DOWN),3
386,PMPML,209,Saswad to Katraj Kondhwa Road (UP),3
387,PMPML,209,Katraj Kondhwa Road to Saswad (DOWN),3
392,PMPML,210,Midc Jejuri to Hadapsar Gadital (UP),3
393,PMPML,210,Hadapsar Gadital to Midc Jejuri (DOWN),3
1274,PMPML,211,Uruli Kanchan to Saswad (UP),3
1275,PMPML,211,Saswad to Uruli Kanchan (DOWN),3
396,PMPML,212,Morgaon St Stand to Hadapsar Gadital (UP),3
397,PMPML,212,Hadapsar Gadital to Morgaon St Stand (DOWN),3
400,PMPML,213,Nira to Hadapsar Gadital (UP),3
401,PMPML,213,Hadapsar Gadital to Nira (DOWN),3
402,PMPML,214,Shingad Collage Ambegaon to Katraj (UP),3
403,PMPML,214,Katraj to Shingad Collage Ambegaon (DOWN),3
404,PMPML,215,Swargate to Chintamani Dnyanpith (UP),3
405,PMPML,215,Chintamani Dnyanpith to Swargate (DOWN),3
410,PMPML,216,Shivaji Nagar to Bharati Vidyapeeth (UP),3
411,PMPML,216,Bharati Vidyapeeth to Shivaji Nagar (DOWN),3
414,PMPML,219,Alandi to Kothrud Depot (UP),3
415,PMPML,219,Kothrud Depot to Alandi (DOWN),3
418,PMPML,21,Sangvi Vasantdada Putala to Swargate (UP),3
419,PMPML,21,Swargate to Sangvi Vasantdada Putala (DOWN),3
422,PMPML,221,I V Estate Wagholi to Wagholi Kesnand Phata (UP),3
423,PMPML,221,Kesnand Phata Wagholi to IV VILLA LANE NO. 1 (DOWN),3
424,PMPML,225,Hinjawadi Maan Phase 3 to Kharadi Gaon (UP),3
425,PMPML,225,Kharadi Gaon to Hinjawadi Maan Phase 3 (DOWN),3
432,PMPML,227A,Mhasoba Mandir Kharawade to Marketyard Depot (UP),3
433,PMPML,227A,Marketyard Depot to Mhasoba Mandir Kharawade (DOWN),3
434,PMPML,227,Marnewadi to Marketyard Depot (UP),3
435,PMPML,227,Marketyard Depot to Marnewadi (DOWN),3
440,PMPML,228,Vadgaon Mawal to Katraj (UP),3
445,PMPML,228,Katraj to Vadgaon Mawal (DOWN),3
448,PMPML,231,Shilim Gaon to Marketyard Depot (UP),3
449,PMPML,231,Marketyard Depot to Shilim Gaon (DOWN),3
450,PMPML,232,Gram Panchayat Belawade to Marketyard Depot (UP),3
451,PMPML,232,Marketyard Depot to Gram Panchayat Belawade (DOWN),3
452,PMPML,233A,Kolwan Gaon to Marketyard Depot (UP),3
453,PMPML,233A,Marketyard Depot to Kolwan Gaon (DOWN),3
454,PMPML,233B,Bhadasgaon to Marketyard Depot (UP),3
455,PMPML,233B,Marketyard Depot to Bhadasgaon (DOWN),3
456,PMPML,233,Paud Shashkiy Vishram Gruh to Marketyard Depot (UP),3
457,PMPML,233,Marketyard Depot to Paud Shashkiy Vishram Gruh (DOWN),3
458,PMPML,234,Dhole Patil Collage to Ma Na Pa Shramik Bhavan (UP),3
459,PMPML,234,Ma Na Pa Shramik Bhavan to Dhole Patil Collage (DOWN),3
460,PMPML,235,Kharadi Gaon to Katraj (UP),3
461,PMPML,235,Katraj to Kharadi Gaon (DOWN),3
462,PMPML,236,Kesnand Phata Wagholi to Katraj (UP),3
463,PMPML,236,Katraj to Wagholi Kesnand Phata (DOWN),3
464,PMPML,24A,Lohegaon to Katraj (UP),3
465,PMPML,24A,Katraj to Lohegaon (DOWN),3
468,PMPML,24,Maharashtra Housing Board Samta Nagar to Katraj (UP),3
469,PMPML,24,Katraj to Maharashtra Housing Board Samta Nagar (DOWN),3
472,PMPML,256,Balewadi Depot to Pune Station Moledina Stand (UP),3
473,PMPML,256,Pune Station Moledina Stand to Balewadi Depot (DOWN),3
1244,PMPML,257A,Indian Oil Petrol Pump Tulapur to Wagholi Kesnand Phata (UP),3
1245,PMPML,257A,Wagholi Kesnand Phata to Indian Oil Petrol Pump Tulapur (DOWN),3
476,PMPML,257,Alandi to Panaychi Taki Markal (UP),3
477,PMPML,257,Panaychi Taki Markal to Alandi (DOWN),3
478,PMPML,258,Nilanjan Society Soosgaon to Ma Na Pa Main Gate (UP),3
479,PMPML,258,Ma Na Pa Main Gate to Nilanjan Society Soosgaon (DOWN),3
484,PMPML,262,Sant Tukaram Maharaj Krida Sankul Dehugaon to Pune Station Moledina Stand (UP),3
485,PMPML,262,Pune Station Moledina Stand to Sant Tukaram Maharaj Krida Sankul Dehugaon (DOWN),3
486,PMPML,264,Pabal Gaon to Bhosari Pmt Chowk (UP),3
487,PMPML,264,Bhosari Pmt Chowk to Pabal Gaon (DOWN),3
488,PMPML,26,Shivaji Nagar to Dhankawadi (UP),3
489,PMPML,26,Dhankawadi to Shivaji Nagar (DOWN),3
494,PMPML,276,Chinchwadgaon to Ganpati Matha (UP),3
495,PMPML,276,Ganpati Matha to Chinchwadgaon Aundh Road / Chinchwadgaon (DOWN),3
496,PMPML,277,Bhosari Terminal to Kothrud Depot (UP),3
497,PMPML,277,Kothrud Depot to Bhosari Terminal (DOWN),3
498,PMPML,279,Katar Khadak to Marketyard Depot (UP),3
499,PMPML,279,Marketyard Depot to Katar Khadak (DOWN),3
500,PMPML,281,Nigdi Bhakti Shakti to Ganpati Matha (UP),3
501,PMPML,281,Ganpati Matha to Nigdi Bhakti Shakti (DOWN),3
502,PMPML,282,Bhosari Terminal to Ganpati Matha (UP),3
503,PMPML,282,Ganpati Matha to Bhosari Terminal (DOWN),3
504,PMPML,283,Pune Station Moledina Stand to Kumbare Park (UP),3
505,PMPML,283,Kumbare Park to Pune Station Moledina Stand (DOWN),3
510,PMPML,290,Swargate to Jambhulwadi (UP),3
511,PMPML,290,Jambhulwadi to Swargate (DOWN),3
512,PMPML,291,Hadapsar Gadital to Katraj Kondhwa Road (UP),3
513,PMPML,291,Katraj Kondhwa Road to Hadapsar Gadital (DOWN),3
521,PMPML,292,Kondhanpur to Balaji Nagar Corner Satara Road (UP),3
523,PMPML,292,Balaji Nagar Corner Satara Road to Kondhanpur (DOWN),3
524,PMPML,293,Saswad to Balaji Nagar Corner Satara Road (UP),3
525,PMPML,293,Balaji Nagar Corner Satara Road to Saswad (DOWN),3
530,PMPML,296A,Vangniwadi to Balaji Nagar Corner Satara Road (UP),3
531,PMPML,296A,Balaji Nagar Corner Satara Road to Vangniwadi (DOWN),3
532,PMPML,296,Velhe to Balaji Nagar Corner Satara Road (UP),3
533,PMPML,296,Balaji Nagar Corner Satara Road to Velhe (DOWN),3
534,PMPML,297,Shivaji Nagar to Rajas Society (UP),3
535,PMPML,297,Rajas Society to Shivaji Nagar (DOWN),3
538,PMPML,298,Chinchwadgaon to Gujarwadi Pmt Bus Stand (UP),3
539,PMPML,298,Gujarwadi Pmt Bus Stand to Chinchwadgaon Aundh Road / Chinchwadgaon (DOWN),3
540,PMPML,299,Bhosari Terminal to Gujarwadi Pmt Bus Stand (UP),3
541,PMPML,299,Gujarwadi Pmt Bus Stand to Bhosari Terminal (DOWN),3
544,PMPML,29,Alandi to Swargate (UP),3
545,PMPML,29,Swargate to Alandi (DOWN),3
546,PMPML,2A,Shivaji Nagar to Katraj (UP),3
547,PMPML,2A,Katraj to Shivaji Nagar (DOWN),3
551,PMPML,2,Shivaji Nagar to Swargate (UP),3
552,PMPML,2,Swargate to Shivaji Nagar (DOWN),3
553,PMPML,301A,Bhekrai Nagar to Katraj (UP),3
554,PMPML,301A,Katraj to Bhekrai Nagar (DOWN),3
557,PMPML,301,Shewalewadi Depot to Katraj (UP),3
560,PMPML,301,Katraj to Shewalewadi Depot (DOWN),3
561,PMPML,302A,Alandi to Pimprigaon (UP),3
562,PMPML,302A,Pimprigaon to Alandi (DOWN),3
565,PMPML,302,Bhosari Gavhane Vasti to Pimprigaon (UP),3
566,PMPML,302,Pimprigaon to Bhosari Gavhane Vasti (DOWN),3
567,PMPML,303A,Gahunjegaon to Nigdi Pawale Chowk (UP),3
568,PMPML,303A,Nigdi Pawale Chowk to Gahunjegaon (DOWN),3
569,PMPML,303,Akurdi Railway Station to Nigdi Pawale Chowk (UP),3
570,PMPML,303,Nigdi Pawale Chowk to Akurdi Railway Station (DOWN),3
571,PMPML,304,Bhosari Gavhane Vasti to Chinchwadgaon (UP),3
572,PMPML,304,Chinchwadgaon to Bhosari Gavhane Vasti (DOWN),3
573,PMPML,305A,Greenbase Industrial Park Navlakh Umbre to Nigdi Pawale Chowk (UP),3
574,PMPML,305A,Nigdi Pawale Chowk to Greenbase Industrial Park Navlakh Umbre (DOWN),3
575,PMPML,305B,Mindewadi Navlakh Umbre to Nigdi Pawale Chowk (UP),3
576,PMPML,305B,Nigdi Pawale Chowk to Mindewadi Navlakh Umbre (DOWN),3
577,PMPML,305,Vadgaon Mawal to Nigdi Pawale Chowk (UP),3
578,PMPML,305,Nigdi Pawale Chowk to Vadgaon Mawal (DOWN),3
579,PMPML,306A,Hinjewadi Hills Dattawadi to Dange Chowk (UP),3
580,PMPML,306A,Dange Chowk to Hinjewadi Hills Dattawadi (DOWN),3
581,PMPML,306,Megapolis Phase 3 to Dange Chowk (UP),3
