stop_id,stop_name,stop_lat,stop_lon
60,D Mart Hinjawadi,18.5910912480018,73.7443039107486
61,Shivaji Chowk Hinjawadi,18.5909986500419,73.7388652469588
62,It Park Road,18.5882038459798,73.737475267955
6,Infosys Phase 1,18.5863675892385,73.7334590834709
7,Siemens,18.5903398996957,73.7328943582305
91,Bank Of Maharashtra Hinjawadi,18.5939376653089,73.7318442237212
92,Tata Johnson,18.5944630955819,73.7275547767723
93,Wipro Company Circle,18.5967886096052,73.7186604337957
94,Emcure Hinjawadi Road,18.595773444758,73.7125793312667
95,Infosys Phase 2,18.5935968068589,73.7082052249703
96,Power House Hinjawadi,18.589001,73.705299
97,Tata Motors,18.5868,73.700302
98,Gangaramwadi Circul,18.5838544219131,73.6946253759001
99,Tech Mahindra,18.5827860955409,73.6903855444094
100,Tcs Company,18.5812006570683,73.6877843425088
101,Hinjawadi Maan Phase 3,18.5768982092061,73.6883610391785
283,Ganpati Matha,18.4757736675863,73.7958663336999
281,Dnyanesh Society,18.478001,73.798103
285,Warje Malwadi,18.4802984191694,73.8009656292994
8202,Warje Malwadi / Warjegaon,18.4807,73.806
278,Tapodham,18.481899,73.807404
277,Galinde Path,18.4846,73.810303
292,Police Line Modern College Road,18.5264297696072,73.8441875543344
6467,Sawarkar Bhavan,18.5222465745251,73.8501734332568
276,Ma Na Pa Congress Bhavan,18.5223394018188,73.8522199508458
295,Yashwant Nagar Rangehills,18.545,73.839401
296,Ashok Nagar Rangehills / Rangehills Circle 2,18.545,73.842201
297,Rangehills Circle 1,18.545,73.839401
299,Rangehills H Type,18.5456027551509,73.8433438659261
300,Rangehills Post Office,18.549299,73.8433
301,Mutton Market Rangehills,18.5560411741215,73.8424879559408
302,Military Hospital Rangehills,18.556999,73.8396
303,Balbhavan,18.5608689602682,73.8413200113754
305,Lic Colony,18.5620216146652,73.8363483673664
306,40 Aundh Road,18.5623917333754,73.8325714420287
307,Dr Sayyad Dawakhana,18.5625456217771,73.8302171718175
308,Smile Up Dawakhana,18.5635984799064,73.8305049573614
309,Bhaurao Patil Chowk,18.5654030726482,73.8311010325995
310,Chhajed Petrol Pump,18.5730347276362,73.8346970066568
311,Buddha Vihar Dapodi,18.5762964831249,73.8305598390759
312,Shivaji Maharaj Putla Dapodi,18.579051847632,73.8294017795566
313,Dapodi Mantri Niketan,18.58,73.830101
253,Shitaladevi Chowk Pimplegurav,18.5821790024234,73.8293695876788
314,Raviraj Hotel,18.5832,73.824303
315,Ramkrushna Mangal Karyalay,18.585522207895,73.8218986709183
316,Pooja Hospital,18.5889,73.82
317,Suvarnpark,18.5912396305039,73.8195392309799
3850,Sangvi Vasantdada Putala,18.5752218675506,73.8257080264047
525,Chandramani Nagar,18.5748009384924,73.8236705075721
526,Mahadev Mandir Sangvi,18.5760530615525,73.8201306116013
519,Pwd Colony Navi Sangvi,18.5755,73.817299
520,Panyachi Taki Navi Sangvi,18.5753,73.815201
477,Navi Sangvi,18.5761992222495,73.811967420174
